year,month,country,rank,track_name,artist,artist_url,track_url
2023,8,Global,1,Seven,Jung Kook,https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc,https://open.spotify.com/track/6ukdbqOcRGk6JtG3JG8ETf
2023,8,Global,2,Cruel Summer,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/6B0qG3s1E3VVXbV0YJkFXB
2023,8,Global,3,Vampire,Olivia Rodrigo,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,https://open.spotify.com/track/5nLwJhJvO4i3GIZZrKbZgX
2023,8,Global,4,Last Night,Morgan Wallen,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/5Xg4qB6xZJqTjvK2K7S6tY
2023,8,Global,5,Flowers,Miley Cyrus,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,https://open.spotify.com/track/4I3EkBMBk1k4c1eQ3fYdQc
2023,8,US,1,Rich Men North of Richmond,Oliver Anthony Music,https://open.spotify.com/artist/4bPz2ZkMazYw2K4dVYBzLP,https://open.spotify.com/track/2UE3OIdG8CGGGKkqfZgFUv
2023,8,US,2,Last Night,Morgan Wallen,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/5Xg4qB6xZJqTjvK2K7S6tY
2023,8,US,3,Fast Car,Luke Combs,https://open.spotify.com/artist/2DyaK7SUnRFZONlQL3eYQK,https://open.spotify.com/track/3oV1v5KwD4JFdJ1oVbEbWz
2023,8,US,4,Flowers,Miley Cyrus,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,https://open.spotify.com/track/4I3EkBMBk1k4c1eQ3fYdQc
2023,8,US,5,All My Life,Lil Durk ft. J. Cole,https://open.spotify.com/artist/3hcs9uc56yIGFCSy9leWe7,https://open.spotify.com/track/6tTg6Hj5YhOMqVx8vzOJgA
2023,8,BR,1,Nosso Quadro,AgroPlay & Ana Castela,https://open.spotify.com/artist/3HC6FpYbJdD8TALBqRmx7z,https://open.spotify.com/track/1XsCEik7ubKpJvP3Jb5T3F
2023,8,BR,2,Leão,Marília Mendonça,https://open.spotify.com/artist/1yR65KqOFRXrhVPd6h0bRl,https://open.spotify.com/track/7lNFfJhBlUQEm5oHvqNcl8
2023,8,BR,3,Faz um Vuk Vuk,Teto,https://open.spotify.com/artist/68YeXpLtyo1pJLF7P5czsQ,https://open.spotify.com/track/36K4Gi3CVen6CQRixUy4Si
2023,8,BR,4,Bombonzinho,Israel & Rodolffo,https://open.spotify.com/artist/1NTfK1f5JGKcFhRp5i7Yxp,https://open.spotify.com/track/4fJ0R7aOqHNRuMnqL1kBXr
2023,8,BR,5,Erro Gostoso,Simone Mendes,https://open.spotify.com/artist/7sF3IHu5L6J2O1JhOFcOQp,https://open.spotify.com/track/6GR7kZyXKlLbPZXkv6Cx1G
